pitch_type,game_date,player_name,events,description,stand,p_throws,home_team,away_team,balls,strikes,hit_distance_sc,launch_speed,launch_angle,effective_speed,pitch_name
SL,2026-08-05,"Cameron, Noah",strikeout,swinging_strike_blocked,R,L,KC,MIN,1,2,,,,86,Slider
CU,2026-08-05,"Cameron, Noah",,ball,R,L,KC,MIN,0,2,,,,85.6,Curveball
FF,2026-08-05,"Cameron, Noah",,swinging_strike,R,L,KC,MIN,0,1,,,,95.1,4-Seam Fastball
CH,2026-08-05,"Cameron, Noah",,swinging_strike,R,L,KC,MIN,0,0,,,,81,Changeup
CU,2026-08-05,"Cameron, Noah",strikeout,swinging_strike,R,L,KC,MIN,1,2,,,,84.3,Curveball
SL,2026-08-05,"Cameron, Noah",,ball,R,L,KC,MIN,0,2,,,,86.7,Slider
FF,2026-08-05,"Cameron, Noah",,called_strike,R,L,KC,MIN,0,1,,,,94.4,4-Seam Fastball
FC,2026-08-05,"Cameron, Noah",,foul,R,L,KC,MIN,0,0,287,92.8,20,90.3,Cutter
SL,2026-08-05,"Cameron, Noah",strikeout,swinging_strike,L,L,KC,MIN,0,2,,,,85.7,Slider
SL,2026-08-05,"Cameron, Noah",,swinging_strike,L,L,KC,MIN,0,1,,,,84.6,Slider
ST,2026-08-05,"Scott, Christian",field_out,hit_into_play,L,R,CLE,NYM,0,2,281,88.9,20,84,Sweeper
SL,2026-08-05,"Cameron, Noah",,foul_bunt,L,L,KC,MIN,0,0,,,,83.5,Slider
ST,2026-08-05,"Scott, Christian",,swinging_strike,L,R,CLE,NYM,0,1,,,,82.5,Sweeper
SL,2026-08-05,"Cameron, Noah",strikeout,swinging_strike,R,L,KC,MIN,1,2,,,,85.9,Slider
CU,2026-08-05,"Cameron, Noah",,called_strike,R,L,KC,MIN,1,1,,,,79.3,Curveball
ST,2026-08-05,"Scott, Christian",,foul,L,R,CLE,NYM,0,0,38,101,-3,83.6,Sweeper
SI,2026-08-05,"Rogers, Trevor",single,hit_into_play,L,L,BAL,LAA,0,1,116,79.4,9,93.4,Sinker
ST,2026-08-05,"Scott, Christian",strikeout,swinging_strike,L,R,CLE,NYM,2,2,,,,82.2,Sweeper
CH,2026-08-05,"Cameron, Noah",,foul,R,L,KC,MIN,1,0,175,75,19,81.5,Changeup
FC,2026-08-05,"Cameron, Noah",,ball,R,L,KC,MIN,0,0,,,,91.3,Cutter
SI,2026-08-05,"Rogers, Trevor",,called_strike,L,L,BAL,LAA,0,0,,,,92.8,Sinker
ST,2026-08-05,"Scott, Christian",,foul,L,R,CLE,NYM,2,2,4,70.3,-23,84.6,Sweeper
FF,2026-08-05,"Rogers, Trevor",strikeout,called_strike,R,L,BAL,LAA,3,2,,,,95.8,4-Seam Fastball
CU,2026-08-05,"Cameron, Noah",strikeout,swinging_strike,R,L,KC,MIN,1,2,,,,83.2,Curveball
FF,2026-08-05,"Scott, Christian",,ball,L,R,CLE,NYM,1,2,,,,97,4-Seam Fastball
FF,2026-08-05,"Cameron, Noah",,ball,R,L,KC,MIN,0,2,,,,92.6,4-Seam Fastball
FF,2026-08-05,"Rogers, Trevor",,foul,R,L,BAL,LAA,3,1,222,79.5,55,95.3,4-Seam Fastball
FF,2026-08-05,"Scott, Christian",,foul,L,R,CLE,NYM,1,1,227,76.2,27,97.5,4-Seam Fastball
CH,2026-08-05,"Cameron, Noah",,foul,R,L,KC,MIN,0,1,198,70.7,55,81,Changeup
FC,2026-08-05,"Rogers, Trevor",,ball,R,L,BAL,LAA,2,1,,,,83.7,Cutter
FC,2026-08-05,"Scott, Christian",,foul,L,R,CLE,NYM,1,0,212,72.5,47,93,Cutter
ST,2026-08-05,"Scott, Christian",,ball,L,R,CLE,NYM,0,0,,,,82.6,Sweeper
FS,2026-08-05,"Kremer, Dean",field_out,hit_into_play,L,R,KC,MIN,1,1,343,92.3,37,82.7,Split-Finger
CU,2026-08-05,"Cameron, Noah",,called_strike,R,L,KC,MIN,0,0,,,,77.3,Curveball
CH,2026-08-05,"Rogers, Trevor",,ball,R,L,BAL,LAA,1,1,,,,87.7,Changeup
FF,2026-08-05,"Kremer, Dean",,foul,L,R,KC,MIN,1,0,211,79.2,61,92.8,4-Seam Fastball
FC,2026-08-05,"Cameron, Noah",field_out,hit_into_play,R,L,KC,MIN,1,1,27,85.9,83,89.8,Cutter
FC,2026-08-05,"Lopez, Jacob",single,hit_into_play,R,L,CIN,ATH,1,1,204,71.7,52,88.6,Cutter
FF,2026-08-05,"Rogers, Trevor",,ball,R,L,BAL,LAA,0,1,,,,94.1,4-Seam Fastball
FC,2026-08-05,"Scott, Christian",single,hit_into_play,L,R,CLE,NYM,0,0,166,61.3,20,92.5,Cutter
FS,2026-08-05,"Kremer, Dean",,ball,L,R,KC,MIN,0,0,,,,83.4,Split-Finger
CH,2026-08-05,"Cameron, Noah",,ball,R,L,KC,MIN,0,1,,,,82.8,Changeup
ST,2026-08-05,"Scott, Christian",strikeout,foul_tip,R,R,CLE,NYM,1,2,,,,84.4,Sweeper
FF,2026-08-05,"Rogers, Trevor",,called_strike,R,L,BAL,LAA,0,0,,,,94.7,4-Seam Fastball
FC,2026-08-05,"Lopez, Jacob",,ball,R,L,CIN,ATH,0,1,,,,88.2,Cutter
ST,2026-08-05,"Scott, Christian",,blocked_ball,R,R,CLE,NYM,0,2,,,,83.8,Sweeper
ST,2026-08-05,"Rogers, Trevor",strikeout,swinging_strike,R,L,BAL,LAA,0,2,,,,77.8,Sweeper
FF,2026-08-05,"Kremer, Dean",sac_fly,hit_into_play,L,R,KC,MIN,1,1,326,85.6,28,92.7,4-Seam Fastball
SL,2026-08-05,"Lopez, Jacob",,swinging_strike,R,L,CIN,ATH,0,0,,,,77.7,Slider
FC,2026-08-05,"Cameron, Noah",,foul,R,L,KC,MIN,0,0,4,75.7,-34,89,Cutter
FF,2026-08-05,"Kremer, Dean",,called_strike,L,R,KC,MIN,1,0,,,,91.8,4-Seam Fastball
ST,2026-08-05,"Rogers, Trevor",,swinging_strike,R,L,BAL,LAA,0,1,,,,79.9,Sweeper
FC,2026-08-05,"Lopez, Jacob",home_run,hit_into_play,R,L,CIN,ATH,1,0,378,98.2,29,87.4,Cutter
SL,2026-08-05,"Cameron, Noah",strikeout,swinging_strike,L,L,KC,MIN,1,2,,,,85,Slider
SL,2026-08-05,"Elder, Bryce",field_out,hit_into_play,L,R,ATL,MIA,2,0,60,103,2,81.8,Slider
ST,2026-08-05,"Scott, Christian",,foul_tip,R,R,CLE,NYM,0,1,,,,83.7,Sweeper
FC,2026-08-05,"Lopez, Jacob",,ball,R,L,CIN,ATH,0,0,,,,87.3,Cutter
CU,2026-08-05,"Cameron, Noah",,foul,L,L,KC,MIN,1,2,3,86,-32,83.7,Curveball
SI,2026-08-05,"Elder, Bryce",,ball,L,R,ATL,MIA,1,0,,,,90.1,Sinker
FF,2026-08-05,"Kremer, Dean",,ball,L,R,KC,MIN,0,0,,,,92.7,4-Seam Fastball
FF,2026-08-05,"Rogers, Trevor",,called_strike,R,L,BAL,LAA,0,0,,,,94.4,4-Seam Fastball
FC,2026-08-05,"Gray, Sonny",field_out,hit_into_play,L,R,BOS,CWS,1,0,7,87.1,-17,90.4,Cutter
FF,2026-08-05,"Scott, Christian",,called_strike,R,R,CLE,NYM,0,0,,,,97.5,4-Seam Fastball
CH,2026-08-05,"Gray, Sonny",,ball,L,R,BOS,CWS,0,0,,,,86.3,Changeup
CU,2026-08-05,"Cameron, Noah",,foul,L,L,KC,MIN,1,2,204,72.4,44,83,Curveball
FF,2026-08-05,"Elder, Bryce",,ball,L,R,ATL,MIA,0,0,,,,92,4-Seam Fastball
ST,2026-08-05,"Scott, Christian",walk,ball,L,R,CLE,NYM,3,2,,,,85,Sweeper
FF,2026-08-05,"Lopez, Jacob",field_out,hit_into_play,R,L,CIN,ATH,2,2,238,75.8,48,92.8,4-Seam Fastball
SI,2026-08-05,"Rogers, Trevor",field_out,hit_into_play,L,L,BAL,LAA,1,0,22,92.6,-3,93.6,Sinker
FF,2026-08-05,"Kremer, Dean",walk,ball,L,R,KC,MIN,3,1,,,,91.5,4-Seam Fastball
FF,2026-08-05,"Rogers, Trevor",,ball,L,L,BAL,LAA,0,0,,,,94.1,4-Seam Fastball
SL,2026-08-05,"Elder, Bryce",field_out,hit_into_play,L,R,ATL,MIA,0,0,129,73.5,70,82.7,Slider
ST,2026-08-05,"Scott, Christian",,ball,L,R,CLE,NYM,2,2,,,,86,Sweeper
FF,2026-08-05,"Gray, Sonny",grounded_into_double_play,hit_into_play,L,R,BOS,CWS,3,2,72,65.9,7,92.7,4-Seam Fastball
SL,2026-08-05,"Detmers, Reid",field_out,hit_into_play,R,L,BAL,LAA,2,1,3,59.8,-44,83.2,Slider
CU,2026-08-05,"Kremer, Dean",,ball,L,R,KC,MIN,2,1,,,,75.4,Curveball
FF,2026-08-05,"Lopez, Jacob",,ball,R,L,CIN,ATH,1,2,,,,92.2,4-Seam Fastball
FF,2026-08-05,"Cameron, Noah",,foul,L,L,KC,MIN,1,2,75,81.7,6,94.1,4-Seam Fastball
CU,2026-08-05,"Cameron, Noah",,called_strike,L,L,KC,MIN,1,1,,,,80.4,Curveball
ST,2026-08-05,"Gray, Sonny",,ball,L,R,BOS,CWS,2,2,,,,85.5,Sweeper
FS,2026-08-05,"Scott, Christian",,ball,L,R,CLE,NYM,1,2,,,,86.4,Split-Finger
SL,2026-08-05,"Lopez, Jacob",,foul,R,L,CIN,ATH,1,1,67,81.1,4,76.9,Slider
FF,2026-08-05,"Detmers, Reid",,ball,R,L,BAL,LAA,1,1,,,,92.2,4-Seam Fastball
FF,2026-08-05,"Rogers, Trevor",home_run,hit_into_play,R,L,BAL,LAA,0,2,405,105.5,37,92.9,4-Seam Fastball
FC,2026-08-05,"Taillon, Jameson",strikeout,swinging_strike,L,R,HOU,TOR,2,2,,,,89.9,Cutter
SI,2026-08-05,"Elder, Bryce",field_error,hit_into_play,R,R,ATL,MIA,3,2,1,56.7,-58,92,Sinker
FS,2026-08-05,"Kremer, Dean",,blocked_ball,L,R,KC,MIN,1,1,,,,82.8,Split-Finger
SI,2026-08-05,"Elder, Bryce",,ball,R,R,ATL,MIA,2,2,,,,91.4,Sinker
FS,2026-08-05,"Kremer, Dean",,ball,L,R,KC,MIN,0,1,,,,82.8,Split-Finger
SI,2026-08-05,"Taillon, Jameson",,ball,L,R,HOU,TOR,1,2,,,,92,Sinker
FC,2026-08-05,"Lopez, Jacob",,ball,R,L,CIN,ATH,0,1,,,,88.2,Cutter
ST,2026-08-05,"Gray, Sonny",,blocked_ball,L,R,BOS,CWS,1,2,,,,85.7,Sweeper
CU,2026-08-05,"Detmers, Reid",,called_strike,R,L,BAL,LAA,1,0,,,,68.2,Curveball
FF,2026-08-05,"Scott, Christian",,ball,L,R,CLE,NYM,0,2,,,,98,4-Seam Fastball
CH,2026-08-05,"Rogers, Trevor",,foul,R,L,BAL,LAA,0,1,5,79.6,-20,86.7,Changeup
SL,2026-08-05,"Cameron, Noah",,ball,L,L,KC,MIN,0,1,,,,85.7,Slider
FS,2026-08-05,"Scott, Christian",,foul,L,R,CLE,NYM,0,1,,,,87.5,Split-Finger
CH,2026-08-05,"Taillon, Jameson",,ball,L,R,HOU,TOR,0,2,,,,83.6,Changeup
FF,2026-08-05,"Rogers, Trevor",,foul,R,L,BAL,LAA,0,0,220,78.6,57,93.2,4-Seam Fastball
FF,2026-08-05,"Detmers, Reid",,ball,R,L,BAL,LAA,0,0,,,,91.5,4-Seam Fastball
CU,2026-08-05,"Gray, Sonny",,blocked_ball,L,R,BOS,CWS,0,2,,,,80.8,Curveball
CH,2026-08-05,"Elder, Bryce",,foul,R,R,ATL,MIA,2,2,4,73.3,-21,86.4,Changeup
SL,2026-08-05,"Lopez, Jacob",,called_strike,R,L,CIN,ATH,0,0,,,,74.9,Slider
CH,2026-08-05,"Cameron, Noah",,called_strike,L,L,KC,MIN,0,0,,,,80.5,Changeup
FC,2026-08-05,"Kremer, Dean",,foul_bunt,L,R,KC,MIN,0,0,,,,87.8,Cutter
SL,2026-08-05,"Lopez, Jacob",field_out,hit_into_play,R,L,CIN,ATH,0,0,167,75.6,62,76.5,Slider
CU,2026-08-05,"Gray, Sonny",,foul,L,R,BOS,CWS,0,1,5,69.5,-27,80,Curveball
CU,2026-08-05,"Cameron, Noah",field_out,hit_into_play,R,L,KC,MIN,2,2,182,84.8,63,83.8,Curveball
FF,2026-08-05,"Mize, Casey",walk,ball,R,R,AZ,SD,3,2,,,,95.4,4-Seam Fastball
FC,2026-08-05,"Taillon, Jameson",,foul_tip,L,R,HOU,TOR,0,1,,,,89.3,Cutter
FC,2026-08-05,"Rogers, Trevor",strikeout,swinging_strike,L,L,BAL,LAA,0,2,,,,86.2,Cutter
FS,2026-08-05,"Scott, Christian",,called_strike,L,R,CLE,NYM,0,0,,,,86.9,Split-Finger
CH,2026-08-05,"Elder, Bryce",,ball,R,R,ATL,MIA,1,2,,,,85.5,Changeup
SL,2026-08-05,"Detmers, Reid",field_out,hit_into_play,L,L,BAL,LAA,0,1,231,85.3,52,85.4,Slider
SI,2026-08-05,"Rogers, Trevor",,foul,L,L,BAL,LAA,0,2,243,78.8,43,94.5,Sinker
SI,2026-08-05,"Mize, Casey",,foul,R,R,AZ,SD,3,1,253,75.6,45,96,Sinker
FF,2026-08-05,"Detmers, Reid",,called_strike,L,L,BAL,LAA,0,0,,,,91.3,4-Seam Fastball
FF,2026-08-05,"Kremer, Dean",,ball,R,R,KC,MIN,1,0,,,,91.3,4-Seam Fastball
CH,2026-08-05,"Cameron, Noah",,ball,R,L,KC,MIN,1,2,,,,82.3,Changeup
CU,2026-08-05,"Taillon, Jameson",,swinging_strike,L,R,HOU,TOR,0,0,,,,80.1,Curveball
SI,2026-08-05,"Elder, Bryce",,foul,R,R,ATL,MIA,1,2,3,79.4,-33,90.6,Sinker
SL,2026-08-05,"Lopez, Jacob",field_out,hit_into_play,L,L,CIN,ATH,0,0,333,102.4,38,78,Slider
CU,2026-08-05,"Scott, Christian",single,hit_into_play,L,R,CLE,NYM,0,2,212,69.8,36,84.2,Curveball
CU,2026-08-05,"Gray, Sonny",,swinging_strike,L,R,BOS,CWS,0,0,,,,78.8,Curveball
FC,2026-08-05,"Kremer, Dean",,ball,R,R,KC,MIN,0,0,,,,87.6,Cutter
FF,2026-08-05,"Scott, Christian",,foul,L,R,CLE,NYM,0,2,18,78.2,-10,97.4,4-Seam Fastball
SL,2026-08-05,"Elder, Bryce",,foul,R,R,ATL,MIA,1,1,12,72.8,-9,83.3,Slider
FF,2026-08-05,"Cameron, Noah",,called_strike,R,L,KC,MIN,1,1,,,,94.4,4-Seam Fastball
SL,2026-08-05,"Mize, Casey",,ball,R,R,AZ,SD,2,1,,,,88.6,Slider
FF,2026-08-05,"Detmers, Reid",double,hit_into_play,R,L,BAL,LAA,0,0,322,111,18,91,4-Seam Fastball
FC,2026-08-05,"Lopez, Jacob",field_out,hit_into_play,R,L,CIN,ATH,1,1,149,85.1,62,90,Cutter
FF,2026-08-05,"Gray, Sonny",single,hit_into_play,R,R,BOS,CWS,1,0,131,85.1,10,92.4,4-Seam Fastball
FF,2026-08-05,"Rogers, Trevor",,foul,L,L,BAL,LAA,0,1,239,79.7,30,94.8,4-Seam Fastball
SI,2026-08-05,"Taillon, Jameson",field_out,hit_into_play,R,R,HOU,TOR,0,0,268,100.2,17,91.6,Sinker
FF,2026-08-05,"Scott, Christian",,foul,L,R,CLE,NYM,0,1,228,76.6,27,96.7,4-Seam Fastball
SL,2026-08-05,"Mize, Casey",,ball,R,R,AZ,SD,1,1,,,,89.6,Slider
SI,2026-08-05,"Taillon, Jameson",field_out,hit_into_play,R,R,HOU,TOR,0,0,235,81.2,49,91.4,Sinker
FF,2026-08-05,"Kremer, Dean",single,hit_into_play,L,R,KC,MIN,1,0,13,103,-10,92,4-Seam Fastball
SI,2026-08-05,"Rogers, Trevor",,called_strike,L,L,BAL,LAA,0,0,,,,94.9,Sinker
FC,2026-08-05,"Elder, Bryce",,foul,R,R,ATL,MIA,1,0,,,,87.2,Cutter
CH,2026-08-05,"Cameron, Noah",,swinging_strike,R,L,KC,MIN,1,0,,,,80.7,Changeup
CH,2026-08-05,"Lopez, Jacob",,ball,R,L,CIN,ATH,0,1,,,,82.8,Changeup
CU,2026-08-05,"Detmers, Reid",home_run,hit_into_play,R,L,BAL,LAA,2,2,436,105.9,31,70,Curveball
FF,2026-08-05,"Gray, Sonny",,ball,R,R,BOS,CWS,0,0,,,,91.5,4-Seam Fastball
FF,2026-08-05,"Kremer, Dean",,blocked_ball,L,R,KC,MIN,0,0,,,,92.3,4-Seam Fastball
SL,2026-08-05,"Lopez, Jacob",,called_strike,R,L,CIN,ATH,0,0,,,,76.7,Slider
FC,2026-08-05,"Scott, Christian",,called_strike,L,R,CLE,NYM,0,0,,,,91.7,Cutter
SI,2026-08-05,"Elder, Bryce",,ball,R,R,ATL,MIA,0,0,,,,89.1,Sinker
FS,2026-08-05,"Mize, Casey",,ball,R,R,AZ,SD,0,1,,,,88.8,Split-Finger
FF,2026-08-05,"Rogers, Trevor",strikeout,called_strike,R,L,BAL,LAA,3,2,,,,94.3,4-Seam Fastball
SL,2026-08-05,"Detmers, Reid",,foul,R,L,BAL,LAA,2,2,302,106.2,21,85.4,Slider
FC,2026-08-05,"Cameron, Noah",,ball,R,L,KC,MIN,0,0,,,,89.2,Cutter
ST,2026-08-05,"Gray, Sonny",strikeout,swinging_strike,L,R,BOS,CWS,1,2,,,,85.1,Sweeper
ST,2026-08-05,"Taillon, Jameson",field_out,hit_into_play,R,R,HOU,TOR,0,0,9,95.1,-15,80.3,Sweeper
SL,2026-08-05,"Cameron, Noah",field_out,hit_into_play,R,L,KC,MIN,1,1,317,106.3,17,85.8,Slider
SI,2026-08-05,"Elder, Bryce",field_out,hit_into_play,L,R,ATL,MIA,1,0,304,82.4,32,88.1,Sinker
ST,2026-08-05,"Gray, Sonny",,blocked_ball,L,R,BOS,CWS,0,2,,,,85.7,Sweeper
SI,2026-08-05,"Mize, Casey",,called_strike,R,R,AZ,SD,0,0,,,,94.9,Sinker
CU,2026-08-05,"Detmers, Reid",,foul,R,L,BAL,LAA,2,2,6,66.5,-25,71.3,Curveball
FC,2026-08-05,"Lopez, Jacob",strikeout,swinging_strike,R,L,CIN,ATH,3,2,,,,86.6,Cutter
FS,2026-08-05,"Kremer, Dean",single,hit_into_play,L,R,KC,MIN,0,2,17,91.7,-5,83.8,Split-Finger
FF,2026-08-05,"Scott, Christian",single,hit_into_play,L,R,CLE,NYM,1,2,9,97.7,-17,98.4,4-Seam Fastball
FF,2026-08-05,"Rogers, Trevor",,foul,R,L,BAL,LAA,3,2,189,75.5,65,94.3,4-Seam Fastball
FF,2026-08-05,"Taillon, Jameson",single,hit_into_play,L,R,HOU,TOR,3,1,243,87.8,15,92.8,4-Seam Fastball
FS,2026-08-05,"Mize, Casey",single,hit_into_play,L,R,AZ,SD,1,0,205,92.6,11,88.7,Split-Finger
FC,2026-08-05,"Cameron, Noah",,called_strike,R,L,KC,MIN,1,0,,,,89.2,Cutter
FF,2026-08-05,"Lopez, Jacob",,foul,R,L,CIN,ATH,3,2,121,78.4,14,92.6,4-Seam Fastball
FC,2026-08-05,"Elder, Bryce",,ball,L,R,ATL,MIA,0,0,,,,89.3,Cutter
FF,2026-08-05,"Scott, Christian",,foul,L,R,CLE,NYM,1,1,191,74.3,17,96.9,4-Seam Fastball
ST,2026-08-05,"Gray, Sonny",,swinging_strike_blocked,L,R,BOS,CWS,0,1,,,,85.6,Sweeper
FF,2026-08-05,"Taillon, Jameson",,called_strike,L,R,HOU,TOR,3,0,,,,93.1,4-Seam Fastball
FF,2026-08-05,"Rogers, Trevor",,foul,R,L,BAL,LAA,3,1,192,73.4,59,94.2,4-Seam Fastball
CU,2026-08-05,"Detmers, Reid",,called_strike,R,L,BAL,LAA,2,1,,,,71.5,Curveball
FF,2026-08-05,"Kremer, Dean",,foul,L,R,KC,MIN,0,2,217,73.6,44,93.7,4-Seam Fastball
FC,2026-08-05,"Gray, Sonny",,foul_tip,L,R,BOS,CWS,0,0,,,,90.2,Cutter
FF,2026-08-05,"Mize, Casey",,ball,L,R,AZ,SD,0,0,,,,94.6,4-Seam Fastball
FF,2026-08-05,"Cameron, Noah",,ball,R,L,KC,MIN,0,0,,,,91.8,4-Seam Fastball
FF,2026-08-05,"Rogers, Trevor",,called_strike,R,L,BAL,LAA,3,0,,,,94.3,4-Seam Fastball
SI,2026-08-05,"Taillon, Jameson",,blocked_ball,L,R,HOU,TOR,2,0,,,,93.7,Sinker
FS,2026-08-05,"Kremer, Dean",,foul,L,R,KC,MIN,0,2,151,85.8,12,82.4,Split-Finger
SL,2026-08-05,"Detmers, Reid",,ball,R,L,BAL,LAA,1,1,,,,84.1,Slider
CH,2026-08-05,"Elder, Bryce",field_out,hit_into_play,R,R,ATL,MIA,1,2,348,95.4,24,86.5,Changeup
FF,2026-08-05,"Scott, Christian",,ball,L,R,CLE,NYM,0,1,,,,97.1,4-Seam Fastball
SL,2026-08-05,"Lopez, Jacob",,foul,R,L,CIN,ATH,3,2,362,99.4,43,78.4,Slider
SI,2026-08-05,"Gray, Sonny",field_out,hit_into_play,L,R,BOS,CWS,1,1,1,66.7,-70,92.4,Sinker
FC,2026-08-05,"Lopez, Jacob",,foul,R,L,CIN,ATH,3,2,13,88.6,-10,88.1,Cutter
SL,2026-08-05,"Mize, Casey",single,hit_into_play,L,R,AZ,SD,0,0,203,99.9,12,88,Slider
SI,2026-08-05,"Elder, Bryce",,foul,R,R,ATL,MIA,1,1,,,,90,Sinker
SI,2026-08-05,"Cameron, Noah",field_out,hit_into_play,R,L,KC,MIN,0,0,113,83.4,8,92,Sinker
FF,2026-08-05,"Scott, Christian",,called_strike,L,R,CLE,NYM,0,0,,,,96.3,4-Seam Fastball
CH,2026-08-05,"Detmers, Reid",,ball,R,L,BAL,LAA,0,1,,,,83,Changeup
FS,2026-08-05,"Kremer, Dean",,foul,L,R,KC,MIN,0,2,201,74.6,60,82.1,Split-Finger
FF,2026-08-05,"Rogers, Trevor",,ball,R,L,BAL,LAA,2,0,,,,94.9,4-Seam Fastball
FC,2026-08-05,"Taillon, Jameson",,ball,L,R,HOU,TOR,1,0,,,,90.3,Cutter
SL,2026-08-05,"Kremer, Dean",,foul,L,R,KC,MIN,0,2,9,78.6,-13,83.4,Slider
FF,2026-08-05,"Rogers, Trevor",,ball,R,L,BAL,LAA,1,0,,,,93.7,4-Seam Fastball
FC,2026-08-05,"Lopez, Jacob",,foul,R,L,CIN,ATH,3,2,198,72.1,48,90.2,Cutter
CH,2026-08-05,"Cameron, Noah",field_out,hit_into_play,R,L,KC,MIN,1,1,10,71.3,-8,80,Changeup
CU,2026-08-05,"Detmers, Reid",,called_strike,R,L,BAL,LAA,0,0,,,,69.4,Curveball
FC,2026-08-05,"Elder, Bryce",,foul,R,R,ATL,MIA,1,0,251,89.3,51,88.2,Cutter
FS,2026-08-05,"Mize, Casey",single,hit_into_play,L,R,AZ,SD,0,1,145,83.8,11,90.4,Split-Finger
CH,2026-08-05,"Taillon, Jameson",,ball,L,R,HOU,TOR,0,0,,,,86.4,Changeup
CU,2026-08-05,"Scott, Christian",strikeout,swinging_strike_blocked,L,R,CLE,NYM,0,2,,,,84.3,Curveball
FF,2026-08-05,"Gray, Sonny",,called_strike,L,R,BOS,CWS,1,0,,,,92.2,4-Seam Fastball
CH,2026-08-05,"Gray, Sonny",,ball,L,R,BOS,CWS,0,0,,,,84.9,Changeup
FC,2026-08-05,"Scott, Christian",,swinging_strike,L,R,CLE,NYM,0,1,,,,92.1,Cutter
FC,2026-08-05,"Cameron, Noah",,swinging_strike,R,L,KC,MIN,1,0,,,,90.8,Cutter
FF,2026-08-05,"Rogers, Trevor",,ball,R,L,BAL,LAA,0,0,,,,94.2,4-Seam Fastball
FF,2026-08-05,"Detmers, Reid",home_run,hit_into_play,R,L,BAL,LAA,3,1,426,108.5,30,93.1,4-Seam Fastball
CU,2026-08-05,"Taillon, Jameson",double,hit_into_play,R,R,HOU,TOR,2,2,175,109.2,9,83.5,Curveball
SI,2026-08-05,"Elder, Bryce",,ball,R,R,ATL,MIA,0,0,,,,90.8,Sinker
FS,2026-08-05,"Mize, Casey",,foul,L,R,AZ,SD,0,0,13,88.8,-8,90.1,Split-Finger
FS,2026-08-05,"Kremer, Dean",,foul,L,R,KC,MIN,0,1,142,74.4,72,81.3,Split-Finger
FF,2026-08-05,"Lopez, Jacob",,ball,R,L,CIN,ATH,2,2,,,,92.3,4-Seam Fastball
FC,2026-08-05,"Rogers, Trevor",field_out,hit_into_play,L,L,BAL,LAA,0,1,165,83.4,63,83.3,Cutter
FF,2026-08-05,"Gray, Sonny",field_error,hit_into_play,L,R,BOS,CWS,0,0,9,96.4,-14,92.9,4-Seam Fastball
CH,2026-08-05,"Elder, Bryce",strikeout,swinging_strike,L,R,ATL,MIA,1,2,,,,86.1,Changeup
FF,2026-08-05,"Kremer, Dean",,called_strike,L,R,KC,MIN,0,0,,,,92.4,4-Seam Fastball
SL,2026-08-05,"Lopez, Jacob",,foul,R,L,CIN,ATH,2,2,5,73.5,-25,78.3,Slider
FF,2026-08-05,"Taillon, Jameson",,ball,R,R,HOU,TOR,1,2,,,,93.4,4-Seam Fastball
FF,2026-08-05,"Detmers, Reid",,called_strike,R,L,BAL,LAA,3,0,,,,90.7,4-Seam Fastball
SL,2026-08-05,"Mize, Casey",single,hit_into_play,R,R,AZ,SD,3,1,22,104.4,-5,90.1,Slider
ST,2026-08-05,"Scott, Christian",,called_strike,L,R,CLE,NYM,0,0,,,,85.3,Sweeper
CH,2026-08-05,"Cameron, Noah",,ball,R,L,KC,MIN,0,0,,,,79.8,Changeup
FF,2026-08-05,"Taillon, Jameson",,foul,R,R,HOU,TOR,1,2,213,73.9,40,93.4,4-Seam Fastball
ST,2026-08-05,"Gray, Sonny",strikeout,swinging_strike_blocked,R,R,BOS,CWS,1,2,,,,85.1,Sweeper
FF,2026-08-05,"Lopez, Jacob",,ball,R,L,CIN,ATH,1,2,,,,91,4-Seam Fastball
CH,2026-08-05,"Cameron, Noah",strikeout,swinging_strike,L,L,KC,MIN,1,2,,,,76.9,Changeup
ST,2026-08-05,"Scott, Christian",strikeout,called_strike,L,R,CLE,NYM,0,2,,,,85.1,Sweeper
FC,2026-08-05,"Kremer, Dean",field_out,hit_into_play,R,R,KC,MIN,2,0,5,80,-26,87.1,Cutter
FF,2026-08-05,"Rogers, Trevor",,called_strike,L,L,BAL,LAA,0,0,,,,93.4,4-Seam Fastball
SL,2026-08-05,"Mize, Casey",,ball,R,R,AZ,SD,2,1,,,,90,Slider
SI,2026-08-05,"Elder, Bryce",,ball,L,R,ATL,MIA,0,2,,,,90.6,Sinker
SL,2026-08-05,"Detmers, Reid",,ball,R,L,BAL,LAA,2,0,,,,84.5,Slider
CU,2026-08-05,"Cameron, Noah",,foul,L,L,KC,MIN,1,2,,,,82.5,Curveball
SI,2026-08-05,"Rogers, Trevor",strikeout,called_strike,R,L,BAL,LAA,1,2,,,,95,Sinker
FC,2026-08-05,"Elder, Bryce",,foul,L,R,ATL,MIA,0,1,,,,90.7,Cutter
FC,2026-08-05,"Lopez, Jacob",,foul,R,L,CIN,ATH,1,1,,,,88.6,Cutter
FF,2026-08-05,"Detmers, Reid",,ball,R,L,BAL,LAA,1,0,,,,90.9,4-Seam Fastball
CU,2026-08-05,"Kremer, Dean",,blocked_ball,R,R,KC,MIN,1,0,,,,77.6,Curveball
FF,2026-08-05,"Scott, Christian",,foul,L,R,CLE,NYM,0,2,241,79.6,47,98.5,4-Seam Fastball
